emotion;path;in_set;fold
2;351.png;Training;1
2;352.png;Training;0
2;353.png;Training;0
2;355.png;Training;0
1;356.png;Training;3
2;358.png;Training;4
2;359.png;Training;0
2;360.png;Training;1
2;361.png;Training;4
0;363.png;Training;4
1;364.png;Training;2
2;365.png;Training;4
1;366.png;Training;2
2;368.png;Training;2
2;369.png;Training;4
1;370.png;Training;4
1;371.png;Training;4
2;372.png;Training;2
0;373.png;Training;2
2;374.png;Training;0
2;375.png;Training;0
0;376.png;Training;4
2;377.png;Training;2
1;378.png;Training;2
2;379.png;Training;1
1;380.png;Training;3
2;381.png;Training;2
0;382.png;Training;0
2;383.png;Training;1
1;384.png;Training;0
2;385.png;Training;4
2;386.png;Training;3
2;387.png;Training;4
2;388.png;Training;2
2;389.png;Training;3
2;390.png;Training;1
0;391.png;Training;4
2;393.png;Training;2
2;394.png;Training;1
0;395.png;Training;0
0;396.png;Training;2
0;397.png;Training;1
2;398.png;Training;3
0;399.png;Training;0
2;400.png;Training;1
1;401.png;Training;0
2;402.png;Training;3
2;403.png;Training;1
2;404.png;Training;1
0;405.png;Training;4
1;406.png;Training;1
2;407.png;Training;0
1;408.png;Training;3
2;409.png;Training;0
0;410.png;Training;1
2;412.png;Training;4
2;414.png;Training;4
0;415.png;Training;4
2;416.png;Training;0
1;417.png;Training;3
2;418.png;Training;3
0;419.png;Training;0
2;420.png;Training;1
2;421.png;Training;2
2;422.png;Training;0
0;423.png;Training;1
2;424.png;Training;2
2;426.png;Training;1
2;427.png;Training;3
2;428.png;Training;2
2;429.png;Training;2
2;430.png;Training;1
2;431.png;Training;1
2;432.png;Training;0
2;433.png;Training;4
2;434.png;Training;0
1;436.png;Training;3
1;437.png;Training;1
1;439.png;Training;4
1;440.png;Training;0
2;441.png;Training;4
0;442.png;Training;3
1;444.png;Training;4
1;445.png;Training;4
1;446.png;Training;4
2;447.png;Training;3
2;448.png;Training;4
0;449.png;Training;4
1;450.png;Training;3
2;451.png;Training;4
2;452.png;Training;4
1;453.png;Training;3
2;454.png;Training;1
2;455.png;Training;0
1;456.png;Training;0
2;457.png;Training;3
1;458.png;Training;3
0;459.png;Training;0
2;460.png;Training;1
0;461.png;Training;2
2;462.png;Training;2
1;463.png;Training;3
2;464.png;Training;2
1;465.png;Training;0
2;466.png;Training;4
0;467.png;Training;2
0;468.png;Training;1
2;469.png;Training;1
2;470.png;Training;1
1;472.png;Training;4
2;473.png;Training;1
2;474.png;Training;2
2;475.png;Training;1
2;476.png;Training;1
2;477.png;Training;0
1;478.png;Training;1
2;479.png;Training;2
2;481.png;Training;2
0;482.png;Training;4
2;483.png;Training;4
2;484.png;Training;2
1;485.png;Training;0
2;486.png;Training;3
1;487.png;Training;3
2;489.png;Training;0
0;490.png;Training;1
0;491.png;Training;4
0;493.png;Training;3
1;495.png;Training;1
2;496.png;Training;1
0;498.png;Training;2
2;499.png;Training;1
2;500.png;Training;0
0;501.png;Training;1
0;502.png;Training;0
0;503.png;Training;3
2;504.png;Training;3
2;505.png;Training;3
0;506.png;Training;3
2;507.png;Training;2
0;508.png;Training;0
2;509.png;Training;2
1;511.png;Training;4
1;512.png;Training;0
2;513.png;Training;2
2;514.png;Training;0
2;515.png;Training;4
2;516.png;Training;2
2;517.png;Training;0
2;519.png;Training;2
0;520.png;Training;4
2;521.png;Training;1
0;522.png;Training;4
2;524.png;Training;3
2;525.png;Training;1
2;526.png;Training;4
1;527.png;Training;2
2;530.png;Training;0
1;531.png;Training;0
1;532.png;Training;2
2;533.png;Training;1
2;534.png;Training;2
0;535.png;Training;4
0;536.png;Training;2
1;537.png;Training;3
2;538.png;Training;2
1;539.png;Training;1
1;540.png;Training;2
0;541.png;Training;3
0;542.png;Training;4
2;543.png;Training;1
0;544.png;Training;2
2;545.png;Training;1
2;546.png;Training;3
0;547.png;Training;0
2;549.png;Training;4
2;550.png;Training;0
0;551.png;Training;1
0;552.png;Training;1
1;553.png;Training;3
0;555.png;Training;3
2;556.png;Training;3
0;557.png;Training;4
2;558.png;Training;2
2;559.png;Training;1
2;560.png;Training;1
1;561.png;Training;4
1;562.png;Training;0
2;563.png;Training;2
2;564.png;Training;1
0;565.png;Training;0
2;566.png;Training;2
0;567.png;Training;1
1;568.png;Training;2
1;569.png;Training;1
0;570.png;Training;3
1;572.png;Training;3
2;573.png;Training;4
1;574.png;Training;0
2;575.png;Training;4
2;576.png;Training;4
2;577.png;Training;0
2;578.png;Training;2
2;579.png;Training;3
2;580.png;Training;1
2;581.png;Training;0
1;582.png;Training;1
0;584.png;Training;2
1;585.png;Training;0
1;586.png;Training;4
2;587.png;Training;0
1;588.png;Training;2
2;589.png;Training;1
2;590.png;Training;1
2;591.png;Training;1
0;592.png;Training;4
2;593.png;Training;3
1;594.png;Training;1
0;596.png;Training;2
2;597.png;Training;0
2;598.png;Training;1
2;599.png;Training;2
2;600.png;Training;2
0;601.png;Training;1
0;602.png;Training;2
2;603.png;Training;1
0;604.png;Training;1
0;605.png;Training;0
1;606.png;Training;4
2;607.png;Training;1
2;608.png;Training;3
1;609.png;Training;3
2;610.png;Training;1
2;611.png;Training;3
2;612.png;Training;3
1;613.png;Training;2
2;614.png;Training;4
0;615.png;Training;4
2;616.png;Training;2
2;617.png;Training;2
2;618.png;Training;0
0;619.png;Training;3
1;620.png;Training;2
2;622.png;Training;3
1;623.png;Training;4
2;624.png;Training;1
2;625.png;Training;2
1;626.png;Training;1
0;627.png;Training;0
1;628.png;Training;0
1;629.png;Training;3
0;630.png;Training;2
2;631.png;Training;3
2;633.png;Training;1
2;634.png;Training;1
1;635.png;Training;3
2;636.png;Training;1
1;637.png;Training;1
1;639.png;Training;0
2;640.png;Training;1
1;641.png;Training;3
2;642.png;Training;1
0;643.png;Training;2
0;644.png;Training;0
1;645.png;Training;1
2;646.png;Training;4
1;648.png;Training;2
0;649.png;Training;2
2;650.png;Training;2
0;651.png;Training;3
1;653.png;Training;3
2;654.png;Training;4
1;655.png;Training;1
2;656.png;Training;0
1;657.png;Training;3
1;658.png;Training;0
1;659.png;Training;0
0;662.png;Training;3
2;663.png;Training;3
1;664.png;Training;0
2;665.png;Training;2
1;666.png;Training;0
1;667.png;Training;1
1;668.png;Training;0
2;669.png;Training;3
2;671.png;Training;4
0;672.png;Training;1
0;673.png;Training;3
1;674.png;Training;2
2;676.png;Training;4
2;677.png;Training;1
1;678.png;Training;4
0;679.png;Training;3
2;680.png;Training;1
1;681.png;Training;2
1;682.png;Training;0
1;684.png;Training;2
1;685.png;Training;4
1;687.png;Training;0
2;688.png;Training;0
2;689.png;Training;2
1;690.png;Training;3
1;691.png;Training;3
1;693.png;Training;2
0;694.png;Training;4
2;696.png;Training;0
2;697.png;Training;0
0;699.png;Training;4
2;700.png;Training;1
2;701.png;Training;0
2;702.png;Training;2
2;703.png;Training;3
2;704.png;Training;0
0;705.png;Training;0
1;706.png;Training;1
2;707.png;Training;1
2;709.png;Training;3
2;710.png;Training;4
2;711.png;Training;0
2;712.png;Training;3
1;713.png;Training;1
2;714.png;Training;1
0;715.png;Training;2
2;716.png;Training;4
0;717.png;Training;3
2;718.png;Training;0
1;720.png;Training;0
1;721.png;Training;4
1;722.png;Training;3
2;723.png;Training;1
1;724.png;Training;4
0;725.png;Training;0
2;727.png;Training;0
1;728.png;Training;1
2;729.png;Training;4
2;730.png;Training;2
2;731.png;Training;3
0;732.png;Training;1
2;733.png;Training;2
1;734.png;Training;4
2;735.png;Training;1
1;736.png;Training;4
1;737.png;Training;2
1;738.png;Training;1
2;739.png;Training;2
2;740.png;Training;4
2;741.png;Training;2
2;743.png;Training;1
2;744.png;Training;1
2;745.png;Training;0
2;746.png;Training;4
0;747.png;Training;2
2;748.png;Training;1
2;749.png;Training;1
2;752.png;Training;0
2;753.png;Training;3
2;754.png;Training;1
2;755.png;Training;1
2;756.png;Training;1
0;757.png;Training;3
2;758.png;Training;2
1;760.png;Training;2
2;761.png;Training;1
0;762.png;Training;1
2;764.png;Training;1
2;765.png;Training;1
0;766.png;Training;2
0;767.png;Training;0
2;768.png;Training;1
2;769.png;Training;1
2;770.png;Training;1
0;772.png;Training;1
2;773.png;Training;3
1;774.png;Training;0
1;775.png;Training;2
2;776.png;Training;4
2;778.png;Training;2
2;779.png;Training;0
1;780.png;Training;4
0;781.png;Training;3
2;782.png;Training;3
0;785.png;Training;4
1;786.png;Training;4
0;787.png;Training;0
2;790.png;Training;2
1;791.png;Training;3
1;792.png;Training;4
0;793.png;Training;0
2;794.png;Training;3
0;795.png;Training;1
2;797.png;Training;4
2;798.png;Training;3
2;799.png;Training;3
2;800.png;Training;3
0;801.png;Training;3
1;802.png;Training;2
1;803.png;Training;2
2;804.png;Training;1
2;805.png;Training;4
2;806.png;Training;4
2;807.png;Training;2
2;808.png;Training;0
1;809.png;Training;4
1;810.png;Training;3
2;811.png;Training;4
2;812.png;Training;3
1;813.png;Training;0
2;815.png;Training;4
2;816.png;Training;0
1;817.png;Training;2
2;818.png;Training;4
1;820.png;Training;0
1;821.png;Training;4
2;822.png;Training;0
2;823.png;Training;0
2;824.png;Training;1
2;825.png;Training;3
2;826.png;Training;4
1;827.png;Training;2
2;828.png;Training;2
1;829.png;Training;0
1;830.png;Training;1
2;831.png;Training;1
0;832.png;Training;0
2;833.png;Training;0
2;834.png;Training;1
2;835.png;Training;4
2;836.png;Training;3
0;838.png;Training;1
2;839.png;Training;3
1;840.png;Training;4
0;841.png;Training;0
2;842.png;Training;1
2;844.png;Training;4
2;845.png;Training;4
2;846.png;Training;0
2;847.png;Training;4
1;849.png;Training;3
2;850.png;Training;0
2;851.png;Training;0
0;852.png;Training;4
2;854.png;Training;1
0;855.png;Training;1
1;856.png;Training;2
0;858.png;Training;4
2;859.png;Training;4
2;860.png;Training;1
2;861.png;Training;0
2;862.png;Training;0
1;863.png;Training;3
2;864.png;Training;2
2;866.png;Training;3
2;869.png;Training;3
1;870.png;Training;4
2;871.png;Training;2
2;872.png;Training;4
1;873.png;Training;1
0;874.png;Training;1
0;875.png;Training;0
2;876.png;Training;3
0;877.png;Training;4
2;878.png;Training;2
2;879.png;Training;0
1;880.png;Training;1
2;881.png;Training;4
2;882.png;Training;4
2;883.png;Training;1
0;884.png;Training;0
0;885.png;Training;0
2;886.png;Training;3
1;887.png;Training;0
2;889.png;Training;2
2;890.png;Training;2
0;891.png;Training;2
1;892.png;Training;4
1;895.png;Training;2
2;896.png;Training;1
1;897.png;Training;0
1;898.png;Training;3
2;899.png;Training;4
2;900.png;Training;0
0;901.png;Training;3
2;902.png;Training;1
2;903.png;Training;0
2;904.png;Training;4
0;905.png;Training;4
1;906.png;Training;1
2;907.png;Training;2
2;908.png;Training;4
2;910.png;Training;3
2;911.png;Training;4
0;912.png;Training;2
0;913.png;Training;2
2;914.png;Training;4
1;915.png;Training;3
0;916.png;Training;2
0;917.png;Training;1
2;918.png;Training;1
0;919.png;Training;2
2;920.png;Training;1
1;921.png;Training;2
2;922.png;Training;4
2;923.png;Training;0
2;924.png;Training;2
0;925.png;Training;3
1;926.png;Training;4
2;927.png;Training;2
2;928.png;Training;0
2;929.png;Training;2
0;930.png;Training;2
0;931.png;Training;0
2;932.png;Training;3
2;933.png;Training;0
2;934.png;Training;0
2;935.png;Training;0
0;936.png;Training;3
0;937.png;Training;0
2;938.png;Training;1
2;939.png;Training;3
2;940.png;Training;4
2;941.png;Training;2
1;942.png;Training;3
1;943.png;Training;0
2;944.png;Training;2
0;945.png;Training;2
2;946.png;Training;0
1;948.png;Training;4
2;949.png;Training;3
2;950.png;Training;1
1;951.png;Training;4
0;952.png;Training;2
2;953.png;Training;1
2;954.png;Training;0
2;955.png;Training;3
0;956.png;Training;3
2;957.png;Training;2
0;958.png;Training;3
2;959.png;Training;2
2;961.png;Training;2
2;962.png;Training;2
2;963.png;Training;2
2;965.png;Training;2
2;966.png;Training;4
0;967.png;Training;1
1;968.png;Training;0
1;969.png;Training;2
0;970.png;Training;4
2;971.png;Training;1
1;973.png;Training;3
2;974.png;Training;1
0;975.png;Training;3
2;976.png;Training;2
2;977.png;Training;4
2;978.png;Training;4
0;979.png;Training;0
2;980.png;Training;3
1;981.png;Training;3
2;982.png;Training;2
2;983.png;Training;2
1;984.png;Training;2
2;985.png;Training;3
2;986.png;Training;3
2;987.png;Training;2
2;988.png;Training;2
0;989.png;Training;2
2;990.png;Training;3
0;991.png;Training;3
0;992.png;Training;2
2;994.png;Training;3
1;995.png;Training;4
0;996.png;Training;0
1;997.png;Training;3
2;998.png;Training;4
0;999.png;Training;4
0;1000.png;Training;2
2;1001.png;Training;1
0;1002.png;Training;1
2;1003.png;Training;4
1;1004.png;Training;1
2;1005.png;Training;0
1;1006.png;Training;1
2;1007.png;Training;4
2;1008.png;Training;4
2;1009.png;Training;0
2;1010.png;Training;2
2;1011.png;Training;2
1;1012.png;Training;3
2;1013.png;Training;3
1;1014.png;Training;4
2;1015.png;Training;1
2;1016.png;Training;2
1;1017.png;Training;1
2;1018.png;Training;4
2;1019.png;Training;0
1;1020.png;Training;3
0;1021.png;Training;0
2;1022.png;Training;2
1;1023.png;Training;1
2;1024.png;Training;1
2;1025.png;Training;4
2;1026.png;Training;0
1;1027.png;Training;4
1;1029.png;Training;2
2;1030.png;Training;3
2;1031.png;Training;4
1;1032.png;Training;4
2;1034.png;Training;1
2;1035.png;Training;1
2;1036.png;Training;1
0;1037.png;Training;3
1;1038.png;Training;3
2;1039.png;Training;2
2;1041.png;Training;0
1;1044.png;Training;3
0;1045.png;Training;4
1;1046.png;Training;1
1;1047.png;Training;4
1;1048.png;Training;2
1;1049.png;Training;2
2;1051.png;Training;4
1;1052.png;Training;1
1;1053.png;Training;0
0;1054.png;Training;3
2;1055.png;Training;4
1;1056.png;Training;1
1;1057.png;Training;3
1;1058.png;Training;1
0;1060.png;Training;3
2;1061.png;Training;0
0;1062.png;Training;3
2;1063.png;Training;3
2;1064.png;Training;1
1;1065.png;Training;1
2;1066.png;Training;1
2;1067.png;Training;4
0;1068.png;Training;4
2;1069.png;Training;2
2;1071.png;Training;2
1;1072.png;Training;0
2;1073.png;Training;2
1;1074.png;Training;4
2;1075.png;Training;0
1;1076.png;Training;4
1;1077.png;Training;3
2;1078.png;Training;4
2;1079.png;Training;3
0;1080.png;Training;0
1;1081.png;Training;0
1;1082.png;Training;3
1;1083.png;Training;4
1;1085.png;Training;4
2;1086.png;Training;1
1;1088.png;Training;2
2;1089.png;Training;1
2;1090.png;Training;4
2;1091.png;Training;0
2;1092.png;Training;2
0;1093.png;Training;2
0;1094.png;Training;3
1;1095.png;Training;2
2;1096.png;Training;4
1;1097.png;Training;0
2;1098.png;Training;3
1;1099.png;Training;3
2;1100.png;Training;0
0;1101.png;Training;4
2;1102.png;Training;4
1;1103.png;Training;1
2;1104.png;Training;2
2;1105.png;Training;0
2;1106.png;Training;2
2;1108.png;Training;2
0;1110.png;Training;4
1;1111.png;Training;0
2;1112.png;Training;1
1;1113.png;Training;2
0;1114.png;Training;1
2;1115.png;Training;0
2;1116.png;Training;0
1;1117.png;Training;1
0;1119.png;Training;3
1;1121.png;Training;2
2;1122.png;Training;0
2;1123.png;Training;2
2;1124.png;Training;1
2;1125.png;Training;0
0;1126.png;Training;3
2;1127.png;Training;1
2;1128.png;Training;1
2;1129.png;Training;3
1;1130.png;Training;0
1;1131.png;Training;3
2;1133.png;Training;2
2;1134.png;Training;4
0;1136.png;Training;1
2;1137.png;Training;4
2;1138.png;Training;4
2;1139.png;Training;2
1;1140.png;Training;0
1;1141.png;Training;1
0;1142.png;Training;0
2;1143.png;Training;3
2;1144.png;Training;1
1;1146.png;Training;4
2;1147.png;Training;2
2;1148.png;Training;1
1;1149.png;Training;4
2;1150.png;Training;1
1;1151.png;Training;1
1;1152.png;Training;1
2;1153.png;Training;1
2;1154.png;Training;3
1;1155.png;Training;1
2;1156.png;Training;4
2;1158.png;Training;1
1;1159.png;Training;0
2;1160.png;Training;3
0;1161.png;Training;0
2;1163.png;Training;2
1;1164.png;Training;1
1;1165.png;Training;4
2;1166.png;Training;4
1;1167.png;Training;3
2;1168.png;Training;3
2;1169.png;Training;2
2;1170.png;Training;1
2;1171.png;Training;2
2;1173.png;Training;2
1;1174.png;Training;3
2;1175.png;Training;1
2;1177.png;Training;0
2;1178.png;Training;0
0;1179.png;Training;4
1;1180.png;Training;2
2;1181.png;Training;1
1;1182.png;Training;2
0;1183.png;Training;2
2;1184.png;Training;0
1;1186.png;Training;2
1;1187.png;Training;2
2;1188.png;Training;4
0;1189.png;Training;3
1;1190.png;Training;3
2;1191.png;Training;4
2;1192.png;Training;0
2;1193.png;Training;2
2;1194.png;Training;0
0;1195.png;Training;3
1;1196.png;Training;3
1;1197.png;Training;3
2;1198.png;Training;4
0;1199.png;Training;2
2;1200.png;Training;1
1;1202.png;Training;3
1;1203.png;Training;0
2;1204.png;Training;3
1;1205.png;Training;4
0;1206.png;Training;2
2;1207.png;Training;0
2;1208.png;Training;4
1;1209.png;Training;3
2;1210.png;Training;4
2;1211.png;Training;4
1;1212.png;Training;1
2;1213.png;Training;1
2;1215.png;Training;3
2;1216.png;Training;3
1;1217.png;Training;3
0;1218.png;Training;1
1;1219.png;Training;0
0;1220.png;Training;2
2;1221.png;Training;0
0;1222.png;Training;4
2;1223.png;Training;0
2;1225.png;Training;4
2;1226.png;Training;2
0;1227.png;Training;0
2;1228.png;Training;2
2;1229.png;Training;1
0;1230.png;Training;0
2;1231.png;Training;2
2;1233.png;Training;4
2;1234.png;Training;2
2;1235.png;Training;4
0;1236.png;Training;4
1;1237.png;Training;1
2;1238.png;Training;3
2;1240.png;Training;3
1;1241.png;Training;3
2;1242.png;Training;4
2;1243.png;Training;4
2;1244.png;Training;2
0;1245.png;Training;2
1;1246.png;Training;1
2;1247.png;Training;0
0;1248.png;Training;2
2;1250.png;Training;1
0;1251.png;Training;1
2;1252.png;Training;3
2;1253.png;Training;1
1;1254.png;Training;2
2;1255.png;Training;3
0;1256.png;Training;3
1;1257.png;Training;2
1;1258.png;Training;2
0;1259.png;Training;0
1;1260.png;Training;0
1;1262.png;Training;0
2;1263.png;Training;3
2;1264.png;Training;4
2;1265.png;Training;3
1;1266.png;Training;1
2;1267.png;Training;3
2;1268.png;Training;4
1;1269.png;Training;3
2;1270.png;Training;0
0;1271.png;Training;2
1;1272.png;Training;4
2;1273.png;Training;3
2;1274.png;Training;3
1;1275.png;Training;0
2;1276.png;Training;4
0;1277.png;Training;3
0;1279.png;Training;2
0;1280.png;Training;4
2;1281.png;Training;2
1;1282.png;Training;0
1;1283.png;Training;4
0;1284.png;Training;3
1;1285.png;Training;4
0;1286.png;Training;4
2;1287.png;Training;0
1;1288.png;Training;2
0;1290.png;Training;1
0;1292.png;Training;3
2;1293.png;Training;4
2;1294.png;Training;3
1;1295.png;Training;2
0;1296.png;Training;2
1;1297.png;Training;3
2;1298.png;Training;3
2;1299.png;Training;2
0;1300.png;Training;3
2;1301.png;Training;3
2;1302.png;Training;2
0;1303.png;Training;3
0;1304.png;Training;1
2;1305.png;Training;0
0;1306.png;Training;2
2;1307.png;Training;4
2;1308.png;Training;2
1;1309.png;Training;1
2;1310.png;Training;4
2;1311.png;Training;1
2;1312.png;Training;1
0;1313.png;Training;2
2;1314.png;Training;0
2;1315.png;Training;2
1;1316.png;Training;1
2;1317.png;Training;2
1;1319.png;Training;0
2;1321.png;Training;3
2;1322.png;Training;0
0;1323.png;Training;0
0;1324.png;Training;1
2;1325.png;Training;0
1;1326.png;Training;2
0;1328.png;Training;3
2;1329.png;Training;3
1;1330.png;Training;1
2;1331.png;Training;0
2;1332.png;Training;3
0;1333.png;Training;2
1;1334.png;Training;0
1;1335.png;Training;3
0;1336.png;Training;2
2;1337.png;Training;1
2;1338.png;Training;0
0;1339.png;Training;4
2;1340.png;Training;0
1;1341.png;Training;3
2;1342.png;Training;4
2;1343.png;Training;3
0;1344.png;Training;0
2;1345.png;Training;1
2;1346.png;Training;3
0;1347.png;Training;0
2;1348.png;Training;1
2;1349.png;Training;4
2;1350.png;Training;2
2;1351.png;Training;4
0;1352.png;Training;4
2;1353.png;Training;0
1;1354.png;Training;0
1;1355.png;Training;2
2;1356.png;Training;0
0;1357.png;Training;1
2;1358.png;Training;3
1;1360.png;Training;2
2;1361.png;Training;4
2;1362.png;Training;1
1;1363.png;Training;4
2;1364.png;Training;3
2;1365.png;Training;4
2;1366.png;Training;4
2;1367.png;Training;2
1;1368.png;Training;0
2;1370.png;Training;1
1;1371.png;Training;2
2;1372.png;Training;4
2;1373.png;Training;0
2;1374.png;Training;1
2;1375.png;Training;0
2;1377.png;Training;3
1;1378.png;Training;3
1;1380.png;Training;4
1;1381.png;Training;0
2;1382.png;Training;3
0;1383.png;Training;1
2;1384.png;Training;0
1;1385.png;Training;4
2;1386.png;Training;0
1;1387.png;Training;0
1;1388.png;Training;4
2;1389.png;Training;0
2;1390.png;Training;2
2;1391.png;Training;2
2;1392.png;Training;1
2;1393.png;Training;0
1;1394.png;Training;4
1;1395.png;Training;0
2;1396.png;Training;2
2;1397.png;Training;1
