emotion;path;in_set
0;387.png;Training
1;388.png;Training
2;389.png;Training
4;390.png;Training
6;391.png;Training
5;392.png;Training
0;393.png;Training
4;394.png;Training
6;395.png;Training
6;396.png;Training
6;397.png;Training
2;398.png;Training
6;399.png;Training
4;400.png;Training
3;401.png;Training
2;402.png;Training
4;403.png;Training
0;404.png;Training
6;405.png;Training
3;406.png;Training
2;407.png;Training
3;408.png;Training
0;409.png;Training
6;410.png;Training
5;411.png;Training
0;412.png;Training
5;413.png;Training
2;414.png;Training
6;415.png;Training
1;416.png;Training
3;417.png;Training
2;418.png;Training
6;419.png;Training
2;420.png;Training
0;421.png;Training
4;422.png;Training
6;423.png;Training
4;424.png;Training
5;425.png;Training
4;426.png;Training
4;427.png;Training
2;428.png;Training
0;429.png;Training
4;430.png;Training
0;431.png;Training
2;432.png;Training
0;433.png;Training
0;434.png;Training
5;435.png;Training
3;436.png;Training
3;437.png;Training
5;438.png;Training
3;439.png;Training
3;440.png;Training
4;441.png;Training
6;442.png;Training
5;443.png;Training
3;444.png;Training
3;445.png;Training
3;446.png;Training
4;447.png;Training
4;448.png;Training
6;449.png;Training
3;450.png;Training
4;451.png;Training
2;452.png;Training
3;453.png;Training
2;454.png;Training
2;455.png;Training
3;456.png;Training
4;457.png;Training
3;458.png;Training
6;459.png;Training
2;460.png;Training
6;461.png;Training
4;462.png;Training
3;463.png;Training
0;464.png;Training
3;465.png;Training
4;466.png;Training
6;467.png;Training
6;468.png;Training
0;469.png;Training
0;470.png;Training
5;471.png;Training
3;472.png;Training
1;473.png;Training
2;474.png;Training
4;475.png;Training
2;476.png;Training
2;477.png;Training
3;478.png;Training
2;479.png;Training
5;480.png;Training
0;481.png;Training
6;482.png;Training
2;483.png;Training
4;484.png;Training
3;485.png;Training
2;486.png;Training
3;487.png;Training
5;488.png;Training
0;489.png;Training
6;490.png;Training
6;491.png;Training
5;492.png;Training
6;493.png;Training
5;494.png;Training
3;495.png;Training
0;496.png;Training
5;497.png;Training
6;498.png;Training
0;499.png;Training
2;500.png;Training
6;501.png;Training
6;502.png;Training
6;503.png;Training
2;504.png;Training
4;505.png;Training
6;506.png;Training
2;507.png;Training
6;508.png;Training
0;509.png;Training
5;510.png;Training
3;511.png;Training
3;512.png;Training
4;513.png;Training
4;514.png;Training
0;515.png;Training
0;516.png;Training
2;517.png;Training
5;518.png;Training
0;519.png;Training
6;520.png;Training
0;521.png;Training
6;522.png;Training
5;523.png;Training
4;524.png;Training
0;525.png;Training
0;526.png;Training
3;527.png;Training
5;528.png;Training
5;529.png;Training
4;530.png;Training
3;531.png;Training
3;532.png;Training
1;533.png;Training
4;534.png;Training
6;535.png;Training
6;536.png;Training
3;537.png;Training
2;538.png;Training
3;539.png;Training
3;540.png;Training
6;541.png;Training
6;542.png;Training
4;543.png;Training
6;544.png;Training
0;545.png;Training
2;546.png;Training
6;547.png;Training
5;548.png;Training
4;549.png;Training
2;550.png;Training
6;551.png;Training
6;552.png;Training
3;553.png;Training
5;554.png;Training
6;555.png;Training
4;556.png;Training
6;557.png;Training
0;558.png;Training
4;559.png;Training
2;560.png;Training
3;561.png;Training
3;562.png;Training
0;563.png;Training
0;564.png;Training
6;565.png;Training
2;566.png;Training
6;567.png;Training
3;568.png;Training
3;569.png;Training
6;570.png;Training
5;571.png;Training
3;572.png;Training
1;573.png;Training
3;574.png;Training
2;575.png;Training
2;576.png;Training
4;577.png;Training
2;578.png;Training
2;579.png;Training
4;580.png;Training
0;581.png;Training
3;582.png;Training
5;583.png;Training
6;584.png;Training
3;585.png;Training
3;586.png;Training
2;587.png;Training
3;588.png;Training
0;589.png;Training
4;590.png;Training
2;591.png;Training
6;592.png;Training
2;593.png;Training
3;594.png;Training
5;595.png;Training
6;596.png;Training
2;597.png;Training
4;598.png;Training
2;599.png;Training
2;600.png;Training
6;601.png;Training
6;602.png;Training
4;603.png;Training
6;604.png;Training
6;605.png;Training
3;606.png;Training
4;607.png;Training
0;608.png;Training
3;609.png;Training
4;610.png;Training
4;611.png;Training
0;612.png;Training
3;613.png;Training
4;614.png;Training
6;615.png;Training
4;616.png;Training
0;617.png;Training
4;618.png;Training
6;619.png;Training
3;620.png;Training
5;621.png;Training
2;622.png;Training
3;623.png;Training
0;624.png;Training
0;625.png;Training
3;626.png;Training
6;627.png;Training
3;628.png;Training
3;629.png;Training
6;630.png;Training
4;631.png;Training
5;632.png;Training
0;633.png;Training
2;634.png;Training
3;635.png;Training
0;636.png;Training
3;637.png;Training
5;638.png;Training
3;639.png;Training
4;640.png;Training
3;641.png;Training
4;642.png;Training
6;643.png;Training
6;644.png;Training
3;645.png;Training
4;646.png;Training
5;647.png;Training
3;648.png;Training
6;649.png;Training
4;650.png;Training
6;651.png;Training
5;652.png;Training
3;653.png;Training
0;654.png;Training
3;655.png;Training
2;656.png;Training
3;657.png;Training
3;658.png;Training
3;659.png;Training
5;660.png;Training
5;661.png;Training
6;662.png;Training
2;663.png;Training
3;664.png;Training
0;665.png;Training
3;666.png;Training
3;667.png;Training
3;668.png;Training
2;669.png;Training
5;670.png;Training
0;671.png;Training
6;672.png;Training
6;673.png;Training
3;674.png;Training
5;675.png;Training
0;676.png;Training
0;677.png;Training
3;678.png;Training
6;679.png;Training
4;680.png;Training
3;681.png;Training
3;682.png;Training
5;683.png;Training
3;684.png;Training
3;685.png;Training
5;686.png;Training
3;687.png;Training
4;688.png;Training
2;689.png;Training
3;690.png;Training
3;691.png;Training
5;692.png;Training
3;693.png;Training
6;694.png;Training
5;695.png;Training
4;696.png;Training
4;697.png;Training
5;698.png;Training
6;699.png;Training
0;700.png;Training
2;701.png;Training
2;702.png;Training
4;703.png;Training
0;704.png;Training
6;705.png;Training
3;706.png;Training
2;707.png;Training
5;708.png;Training
2;709.png;Training
2;710.png;Training
4;711.png;Training
2;712.png;Training
3;713.png;Training
0;714.png;Training
6;715.png;Training
0;716.png;Training
6;717.png;Training
2;718.png;Training
5;719.png;Training
3;720.png;Training
3;721.png;Training
3;722.png;Training
2;723.png;Training
3;724.png;Training
6;725.png;Training
5;726.png;Training
0;727.png;Training
3;728.png;Training
2;729.png;Training
4;730.png;Training
2;731.png;Training
6;732.png;Training
4;733.png;Training
3;734.png;Training
4;735.png;Training
3;736.png;Training
3;737.png;Training
3;738.png;Training
2;739.png;Training
0;740.png;Training
2;741.png;Training
5;742.png;Training
0;743.png;Training
2;744.png;Training
2;745.png;Training
2;746.png;Training
6;747.png;Training
2;748.png;Training
4;749.png;Training
5;750.png;Training
5;751.png;Training
4;752.png;Training
4;753.png;Training
4;754.png;Training
2;755.png;Training
0;756.png;Training
6;757.png;Training
1;758.png;Training
5;759.png;Training
3;760.png;Training
4;761.png;Training
6;762.png;Training
5;763.png;Training
0;764.png;Training
0;765.png;Training
6;766.png;Training
6;767.png;Training
2;768.png;Training
2;769.png;Training
4;770.png;Training
5;771.png;Training
6;772.png;Training
2;773.png;Training
3;774.png;Training
3;775.png;Training
4;776.png;Training
5;777.png;Training
0;778.png;Training
4;779.png;Training
3;780.png;Training
6;781.png;Training
4;782.png;Training
5;783.png;Training
5;784.png;Training
6;785.png;Training
3;786.png;Training
6;787.png;Training
5;788.png;Training
5;789.png;Training
0;790.png;Training
3;791.png;Training
3;792.png;Training
6;793.png;Training
2;794.png;Training
6;795.png;Training
5;796.png;Training
0;797.png;Training
4;798.png;Training
2;799.png;Training
4;800.png;Training
6;801.png;Training
3;802.png;Training
3;803.png;Training
2;804.png;Training
4;805.png;Training
2;806.png;Training
1;807.png;Training
4;808.png;Training
3;809.png;Training
3;810.png;Training
2;811.png;Training
4;812.png;Training
3;813.png;Training
5;814.png;Training
2;815.png;Training
0;816.png;Training
3;817.png;Training
4;818.png;Training
5;819.png;Training
3;820.png;Training
3;821.png;Training
4;822.png;Training
0;823.png;Training
0;824.png;Training
2;825.png;Training
1;826.png;Training
3;827.png;Training
4;828.png;Training
3;829.png;Training
3;830.png;Training
4;831.png;Training
6;832.png;Training
2;833.png;Training
0;834.png;Training
0;835.png;Training
2;836.png;Training
5;837.png;Training
6;838.png;Training
4;839.png;Training
3;840.png;Training
6;841.png;Training
0;842.png;Training
5;843.png;Training
4;844.png;Training
1;845.png;Training
2;846.png;Training
2;847.png;Training
5;848.png;Training
3;849.png;Training
0;850.png;Training
0;851.png;Training
6;852.png;Training
5;853.png;Training
0;854.png;Training
6;855.png;Training
3;856.png;Training
5;857.png;Training
6;858.png;Training
2;859.png;Training
0;860.png;Training
0;861.png;Training
2;862.png;Training
3;863.png;Training
1;864.png;Training
5;865.png;Training
4;866.png;Training
5;867.png;Training
5;868.png;Training
2;869.png;Training
3;870.png;Training
2;871.png;Training
2;872.png;Training
3;873.png;Training
6;874.png;Training
6;875.png;Training
0;876.png;Training
6;877.png;Training
4;878.png;Training
0;879.png;Training
3;880.png;Training
0;881.png;Training
4;882.png;Training
0;883.png;Training
6;884.png;Training
6;885.png;Training
2;886.png;Training
3;887.png;Training
5;888.png;Training
4;889.png;Training
2;890.png;Training
6;891.png;Training
3;892.png;Training
5;893.png;Training
5;894.png;Training
3;895.png;Training
2;896.png;Training
3;897.png;Training
3;898.png;Training
4;899.png;Training
0;900.png;Training
6;901.png;Training
4;902.png;Training
4;903.png;Training
2;904.png;Training
6;905.png;Training
3;906.png;Training
2;907.png;Training
0;908.png;Training
5;909.png;Training
4;910.png;Training
2;911.png;Training
6;912.png;Training
6;913.png;Training
2;914.png;Training
3;915.png;Training
6;916.png;Training
6;917.png;Training
4;918.png;Training
6;919.png;Training
2;920.png;Training
3;921.png;Training
4;922.png;Training
0;923.png;Training
2;924.png;Training
6;925.png;Training
3;926.png;Training
4;927.png;Training
0;928.png;Training
4;929.png;Training
6;930.png;Training
6;931.png;Training
0;932.png;Training
4;933.png;Training
4;934.png;Training
0;935.png;Training
6;936.png;Training
6;937.png;Training
0;938.png;Training
4;939.png;Training
2;940.png;Training
2;941.png;Training
3;942.png;Training
3;943.png;Training
4;944.png;Training
6;945.png;Training
0;946.png;Training
5;947.png;Training
3;948.png;Training
2;949.png;Training
0;950.png;Training
3;951.png;Training
6;952.png;Training
4;953.png;Training
2;954.png;Training
4;955.png;Training
6;956.png;Training
4;957.png;Training
6;958.png;Training
2;959.png;Training
5;960.png;Training
0;961.png;Training
0;962.png;Training
0;963.png;Training
5;964.png;Training
0;965.png;Training
0;966.png;Training
6;967.png;Training
3;968.png;Training
3;969.png;Training
6;970.png;Training
0;971.png;Training
5;972.png;Training
3;973.png;Training
0;974.png;Training
6;975.png;Training
4;976.png;Training
4;977.png;Training
2;978.png;Training
6;979.png;Training
0;980.png;Training
3;981.png;Training
2;982.png;Training
2;983.png;Training
3;984.png;Training
0;985.png;Training
4;986.png;Training
4;987.png;Training
4;988.png;Training
6;989.png;Training
4;990.png;Training
6;991.png;Training
6;992.png;Training
5;993.png;Training
2;994.png;Training
3;995.png;Training
6;996.png;Training
3;997.png;Training
0;998.png;Training
6;999.png;Training
6;1000.png;Training
4;1001.png;Training
6;1002.png;Training
4;1003.png;Training
3;1004.png;Training
4;1005.png;Training
3;1006.png;Training
4;1007.png;Training
2;1008.png;Training
4;1009.png;Training
4;1010.png;Training
4;1011.png;Training
3;1012.png;Training
2;1013.png;Training
3;1014.png;Training
0;1015.png;Training
0;1016.png;Training
3;1017.png;Training
0;1018.png;Training
4;1019.png;Training
3;1020.png;Training
6;1021.png;Training
4;1022.png;Training
3;1023.png;Training
0;1024.png;Training
2;1025.png;Training
4;1026.png;Training
3;1027.png;Training
5;1028.png;Training
3;1029.png;Training
4;1030.png;Training
4;1031.png;Training
3;1032.png;Training
5;1033.png;Training
2;1034.png;Training
4;1035.png;Training
2;1036.png;Training
6;1037.png;Training
3;1038.png;Training
0;1039.png;Training
5;1040.png;Training
4;1041.png;Training
5;1042.png;Training
5;1043.png;Training
3;1044.png;Training
6;1045.png;Training
3;1046.png;Training
3;1047.png;Training
3;1048.png;Training
3;1049.png;Training
5;1050.png;Training
0;1051.png;Training
3;1052.png;Training
3;1053.png;Training
6;1054.png;Training
4;1055.png;Training
3;1056.png;Training
3;1057.png;Training
3;1058.png;Training
5;1059.png;Training
6;1060.png;Training
0;1061.png;Training
6;1062.png;Training
2;1063.png;Training
2;1064.png;Training
3;1065.png;Training
0;1066.png;Training
4;1067.png;Training
6;1068.png;Training
4;1069.png;Training
5;1070.png;Training
0;1071.png;Training
3;1072.png;Training
1;1073.png;Training
3;1074.png;Training
2;1075.png;Training
3;1076.png;Training
3;1077.png;Training
4;1078.png;Training
2;1079.png;Training
6;1080.png;Training
3;1081.png;Training
3;1082.png;Training
3;1083.png;Training
5;1084.png;Training
3;1085.png;Training
2;1086.png;Training
5;1087.png;Training
3;1088.png;Training
2;1089.png;Training
0;1090.png;Training
4;1091.png;Training
2;1092.png;Training
6;1093.png;Training
6;1094.png;Training
3;1095.png;Training
1;1096.png;Training
3;1097.png;Training
0;1098.png;Training
3;1099.png;Training
2;1100.png;Training
6;1101.png;Training
0;1102.png;Training
3;1103.png;Training
2;1104.png;Training
0;1105.png;Training
0;1106.png;Training
5;1107.png;Training
0;1108.png;Training
5;1109.png;Training
6;1110.png;Training
3;1111.png;Training
4;1112.png;Training
3;1113.png;Training
6;1114.png;Training
1;1115.png;Training
2;1116.png;Training
3;1117.png;Training
5;1118.png;Training
6;1119.png;Training
5;1120.png;Training
3;1121.png;Training
0;1122.png;Training
0;1123.png;Training
0;1124.png;Training
4;1125.png;Training
6;1126.png;Training
0;1127.png;Training
2;1128.png;Training
4;1129.png;Training
3;1130.png;Training
3;1131.png;Training
5;1132.png;Training
2;1133.png;Training
4;1134.png;Training
5;1135.png;Training
6;1136.png;Training
2;1137.png;Training
4;1138.png;Training
4;1139.png;Training
3;1140.png;Training
3;1141.png;Training
6;1142.png;Training
2;1143.png;Training
4;1144.png;Training
5;1145.png;Training
3;1146.png;Training
0;1147.png;Training
4;1148.png;Training
3;1149.png;Training
0;1150.png;Training
3;1151.png;Training
3;1152.png;Training
4;1153.png;Training
2;1154.png;Training
3;1155.png;Training
4;1156.png;Training
5;1157.png;Training
0;1158.png;Training
3;1159.png;Training
0;1160.png;Training
6;1161.png;Training
5;1162.png;Training
2;1163.png;Training
3;1164.png;Training
3;1165.png;Training
0;1166.png;Training
3;1167.png;Training
0;1168.png;Training
2;1169.png;Training
0;1170.png;Training
2;1171.png;Training
5;1172.png;Training
4;1173.png;Training
3;1174.png;Training
4;1175.png;Training
5;1176.png;Training
0;1177.png;Training
0;1178.png;Training
6;1179.png;Training
3;1180.png;Training
0;1181.png;Training
3;1182.png;Training
6;1183.png;Training
4;1184.png;Training
5;1185.png;Training
3;1186.png;Training
3;1187.png;Training
4;1188.png;Training
6;1189.png;Training
3;1190.png;Training
4;1191.png;Training
0;1192.png;Training
2;1193.png;Training
0;1194.png;Training
6;1195.png;Training
3;1196.png;Training
3;1197.png;Training
4;1198.png;Training
6;1199.png;Training
0;1200.png;Training
5;1201.png;Training
3;1202.png;Training
3;1203.png;Training
0;1204.png;Training
3;1205.png;Training
6;1206.png;Training
4;1207.png;Training
4;1208.png;Training
3;1209.png;Training
0;1210.png;Training
0;1211.png;Training
3;1212.png;Training
0;1213.png;Training
5;1214.png;Training
0;1215.png;Training
0;1216.png;Training
3;1217.png;Training
6;1218.png;Training
3;1219.png;Training
6;1220.png;Training
0;1221.png;Training
6;1222.png;Training
4;1223.png;Training
5;1224.png;Training
0;1225.png;Training
0;1226.png;Training
6;1227.png;Training
2;1228.png;Training
4;1229.png;Training
6;1230.png;Training
2;1231.png;Training
5;1232.png;Training
0;1233.png;Training
4;1234.png;Training
0;1235.png;Training
6;1236.png;Training
3;1237.png;Training
2;1238.png;Training
5;1239.png;Training
2;1240.png;Training
3;1241.png;Training
0;1242.png;Training
4;1243.png;Training
2;1244.png;Training
6;1245.png;Training
3;1246.png;Training
4;1247.png;Training
6;1248.png;Training
5;1249.png;Training
0;1250.png;Training
6;1251.png;Training
0;1252.png;Training
2;1253.png;Training
3;1254.png;Training
0;1255.png;Training
6;1256.png;Training
3;1257.png;Training
3;1258.png;Training
6;1259.png;Training
3;1260.png;Training
5;1261.png;Training
3;1262.png;Training
4;1263.png;Training
4;1264.png;Training
1;1265.png;Training
3;1266.png;Training
0;1267.png;Training
0;1268.png;Training
3;1269.png;Training
1;1270.png;Training
6;1271.png;Training
3;1272.png;Training
2;1273.png;Training
2;1274.png;Training
3;1275.png;Training
4;1276.png;Training
6;1277.png;Training
5;1278.png;Training
6;1279.png;Training
6;1280.png;Training
4;1281.png;Training
3;1282.png;Training
3;1283.png;Training
6;1284.png;Training
3;1285.png;Training
6;1286.png;Training
4;1287.png;Training
3;1288.png;Training
5;1289.png;Training
6;1290.png;Training
5;1291.png;Training
6;1292.png;Training
4;1293.png;Training
4;1294.png;Training
3;1295.png;Training
6;1296.png;Training
3;1297.png;Training
4;1298.png;Training
0;1299.png;Training
6;1300.png;Training
2;1301.png;Training
2;1302.png;Training
6;1303.png;Training
6;1304.png;Training
2;1305.png;Training
6;1306.png;Training
4;1307.png;Training
0;1308.png;Training
3;1309.png;Training
1;1310.png;Training
0;1311.png;Training
4;1312.png;Training
6;1313.png;Training
4;1314.png;Training
4;1315.png;Training
3;1316.png;Training
0;1317.png;Training
5;1318.png;Training
3;1319.png;Training
5;1320.png;Training
2;1321.png;Training
2;1322.png;Training
6;1323.png;Training
6;1324.png;Training
2;1325.png;Training
3;1326.png;Training
5;1327.png;Training
6;1328.png;Training
4;1329.png;Training
3;1330.png;Training
4;1331.png;Training
2;1332.png;Training
6;1333.png;Training
3;1334.png;Training
3;1335.png;Training
6;1336.png;Training
4;1337.png;Training
0;1338.png;Training
6;1339.png;Training
0;1340.png;Training
3;1341.png;Training
2;1342.png;Training
2;1343.png;Training
6;1344.png;Training
2;1345.png;Training
2;1346.png;Training
6;1347.png;Training
4;1348.png;Training
0;1349.png;Training
0;1350.png;Training
2;1351.png;Training
6;1352.png;Training
4;1353.png;Training
3;1354.png;Training
3;1355.png;Training
4;1356.png;Training
6;1357.png;Training
0;1358.png;Training
5;1359.png;Training
3;1360.png;Training
4;1361.png;Training
4;1362.png;Training
3;1363.png;Training
4;1364.png;Training
0;1365.png;Training
2;1366.png;Training
2;1367.png;Training
3;1368.png;Training
5;1369.png;Training
0;1370.png;Training
3;1371.png;Training
0;1372.png;Training
0;1373.png;Training
0;1374.png;Training
0;1375.png;Training
5;1376.png;Training
2;1377.png;Training
3;1378.png;Training
5;1379.png;Training
3;1380.png;Training
3;1381.png;Training
4;1382.png;Training
6;1383.png;Training
0;1384.png;Training
3;1385.png;Training
0;1386.png;Training
3;1387.png;Training
3;1388.png;Training
2;1389.png;Training
2;1390.png;Training
4;1391.png;Training
0;1392.png;Training
0;1393.png;Training
3;1394.png;Training
3;1395.png;Training
0;1396.png;Training
0;1397.png;Training
2;1398.png;Training
5;1399.png;Training
5;1400.png;Training
2;1401.png;Training
5;1402.png;Training
5;1403.png;Training
3;1404.png;Training
4;1405.png;Training
3;1406.png;Training
6;1407.png;Training
4;1408.png;Training
3;1409.png;Training
2;1410.png;Training
6;1411.png;Training
0;1412.png;Training
0;1413.png;Training
6;1414.png;Training
6;1415.png;Training
6;1416.png;Training
6;1417.png;Training
3;1418.png;Training
3;1419.png;Training
4;1420.png;Training
3;1421.png;Training
0;1422.png;Training
6;1423.png;Training
6;1424.png;Training
3;1425.png;Training
3;1426.png;Training
6;1427.png;Training
3;1428.png;Training
2;1429.png;Training
5;1430.png;Training
2;1431.png;Training
3;1432.png;Training
6;1433.png;Training
6;1434.png;Training
3;1435.png;Training
2;1436.png;Training
2;1437.png;Training
0;1438.png;Training
6;1439.png;Training
3;1440.png;Training
2;1441.png;Training
3;1442.png;Training
0;1443.png;Training
0;1444.png;Training
6;1445.png;Training
4;1446.png;Training
3;1447.png;Training
0;1448.png;Training
5;1449.png;Training
0;1450.png;Training
5;1451.png;Training
4;1452.png;Training
0;1453.png;Training
3;1454.png;Training
4;1455.png;Training
2;1456.png;Training
5;1457.png;Training
2;1458.png;Training
3;1459.png;Training
0;1460.png;Training
4;1461.png;Training
0;1462.png;Training
4;1463.png;Training
5;1464.png;Training
2;1465.png;Training
2;1466.png;Training
5;1467.png;Training
0;1468.png;Training
2;1469.png;Training
6;1470.png;Training
2;1471.png;Training
6;1472.png;Training
4;1473.png;Training
2;1474.png;Training
3;1475.png;Training
3;1476.png;Training
0;1477.png;Training
3;1478.png;Training
2;1479.png;Training
2;1480.png;Training
4;1481.png;Training
4;1482.png;Training
0;1483.png;Training
3;1484.png;Training
2;1485.png;Training
4;1486.png;Training
3;1487.png;Training
3;1488.png;Training
5;1489.png;Training
0;1490.png;Training
3;1491.png;Training
2;1492.png;Training
6;1493.png;Training
4;1494.png;Training
5;1495.png;Training
2;1496.png;Training
3;1497.png;Training
